nome_estacao;cod_estacao;bacia;sub_bacia;operadora;responsavel;municipio_uf;municipio;uf;latitude;longitude;altitude;cod_rio;nome_rio;origem;status_estacao
PCH RASTRO DE AUTO BARRAMENTO;86743800;8;86;00497 - CERTEL RASTRO - Certel Rastro de Auto Geração de Energia S.A;00497 - CERTEL RASTRO - Certel Rastro de Auto Geração de Energia S.A;SÃO JOSÉ DO HERVAL-RS;SÃO JOSÉ DO HERVAL;RS;-29.05330;-52.21940;258.00;86230000;RIO FORQUETA;Setor Elétrico;Ativo
PCH SALTO FORQUETA BARRAMENTO;86743900;8;86;00169 - CERTELTEUTONIA - Cooperativa Regional de Desenvolvimento Teutô...;00169 - CERTELTEUTONIA - Cooperativa Regional de Desenvolvimento Teutô...;PUTINGA-RS;PUTINGA;RS;-29.08140;-52.20830;357.00;86230000;RIO FORQUETA;Setor Elétrico;Ativo
PCH SALTO FORQUETA ALÇA;86743950;8;86;00169 - CERTELTEUTONIA - Cooperativa Regional de Desenvolvimento Teutô...;00169 - CERTELTEUTONIA - Cooperativa Regional de Desenvolvimento Teutô...;PUTINGA-RS;PUTINGA;RS;-29.08330;-52.21060;797.00;86230000;RIO FORQUETA;Setor Elétrico;Ativo
PCH SALTO FORQUETA JUSANTE;86744110;8;86;00169 - CERTELTEUTONIA - Cooperativa Regional de Desenvolvimento Teutô...;00169 - CERTELTEUTONIA - Cooperativa Regional de Desenvolvimento Teutô...;PUTINGA-RS;PUTINGA;RS;-29.09470;-52.21220;186.00;86230000;RIO FORQUETA;Setor Elétrico;Ativo
PCH VALE DO LEITE JUSANTE;86744650;8;86;01255 - CERTEL VALE - Certel Vale do Leite Geração de Energia S.A.;01255 - CERTEL VALE - Certel Vale do Leite Geração de Energia S.A.;POUSO NOVO-RS;POUSO NOVO;RS;-29.18670;-52.17560;98.00;86230000;RIO FORQUETA;Setor Elétrico;Ativo
TRAVESSEIRO/POUSO NOVO;86744900;8;86;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;TRAVESSEIRO-RS;TRAVESSEIRO;RS;-29.21440;-52.15940;85.00;86230000;RIO FORQUETA;RHN;Ativo
CANUDOS DO VALE;86746680;8;86;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;CANUDOS DO VALE-RS;CANUDOS DO VALE;RS;-29.32250;-52.23530;0.00;86237000;ARROIO FORQUETINHA;RHN;Ativo
CGH SOLEDADE BARRAMENTO;86748001;8;86;00166 - CERFOX - CERFOX;00166 - CERFOX - CERFOX;FONTOURA XAVIER-RS;FONTOURA XAVIER;RS;-28.93780;-52.48560;533.00;86234000;RIO FÃO;Setor Elétrico;Ativo
BARRA DO FÃO;86780000;8;86;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;TRAVESSEIRO-RS;TRAVESSEIRO;RS;-29.22390;-52.16220;85.00;86230000;RIO FORQUETA;RHN;Ativo
TEUTÔNIA;86855000;8;86;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;TEUTÔNIA-RS;TEUTÔNIA;RS;-29.46030;-51.76830;62.00;86240000;ARROIO BOA VISTA;RHN;Ativo
ESTRELA;86879300;8;86;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;ESTRELA-RS;ESTRELA;RS;-29.47330;-51.96220;-0.60;86001000;RIO TAQUARI;RHN;Ativo
BOM RETIRO DO SUL - MONTANTE;86881000;8;86;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;BOM RETIRO DO SUL-RS;BOM RETIRO DO SUL;RS;-29.60810;-51.95110;1.00;86001000;RIO TAQUARI;RHN;Ativo
PORTO MARIANTE;86895000;8;86;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;VENANCIO AIRES-RS;VENANCIO AIRES;RS;-29.69220;-51.97000;-0.70;86001000;RIO TAQUARI;RHN;Ativo
PORTO MARIANTE;86895000;8;86;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;VENANCIO AIRES-RS;VENANCIO AIRES;RS;-29.69220;-51.97000;-0.70;86001000;RIO TAQUARI;CotaOnline;Ativo
TAQUARI;86950000;8;86;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;TAQUARI-RS;TAQUARI;RS;-29.80690;-51.87580;-1.90;86001000;RIO TAQUARI;RHN;Ativo
TRIUNFO;87010000;8;87;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;TRIUNFO-RS;TRIUNFO;RS;-29.94190;-51.69420;0.00;85001000;RIO JACUÍ;RHN;Ativo
UHE BUGRES DIVISA MONTANTE;87068000;8;87;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;SÃO FRANCISCO DE PAULA-RS;SÃO FRANCISCO DE PAULA;RS;-29.30000;-50.52110;0.00;87117300;ARROIO DO JUNCO;Setor Elétrico;Ativo
UHE BUGRES BARRAMENTO DIVISA;87070000;8;87;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;SÃO FRANCISCO DE PAULA-RS;SÃO FRANCISCO DE PAULA;RS;-29.29940;-50.56970;97.00;87211300;ARROIO DA DIVISA;Setor Elétrico;Ativo
UHE BUGRES BLANG MONTANTE;87072000;8;87;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;SÃO FRANCISCO DE PAULA-RS;SÃO FRANCISCO DE PAULA;RS;-29.36030;-50.52580;0.00;87220100;RIO SANTA CRUZ;Setor Elétrico;Ativo
UHE BUGRES BARRAMENTO BLANG;87075000;8;87;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;SÃO FRANCISCO DE PAULA-RS;SÃO FRANCISCO DE PAULA;RS;-29.32670;-50.61780;780.00;87220100;RIO SANTA CRUZ;Setor Elétrico;Ativo
UHE BUGRES BLANG RIO DO PINTO;87078000;8;87;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;SÃO FRANCISCO DE PAULA-RS;SÃO FRANCISCO DE PAULA;RS;-29.38470;-50.53390;0.00;87211500;RIO DO PINTO;Setor Elétrico;Ativo
UHE BUGRES BARRAMENTO SALTO;87100000;8;87;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;SÃO FRANCISCO DE PAULA-RS;SÃO FRANCISCO DE PAULA;RS;-29.31530;-50.68060;742.00;87220100;RIO SANTA CRUZ;Setor Elétrico;Ativo
CGH TOCA MONTANTE;87107000;8;87;00007 - CEEE - CEEE;00007 - CEEE - CEEE;SÃO FRANCISCO DE PAULA-RS;SÃO FRANCISCO DE PAULA;RS;-29.30440;-50.72640;0.00;87220100;RIO SANTA CRUZ;Setor Elétrico;Ativo
PCH PASSO DO INFERNO MONTANTE;87109801;8;87;00007 - CEEE - CEEE;00007 - CEEE - CEEE;SÃO FRANCISCO DE PAULA-RS;SÃO FRANCISCO DE PAULA;RS;-29.27500;-50.73890;0.00;87220000;RIO CAÍ;Setor Elétrico;Ativo
CGH TOCA RESERVATÓRIO;87109900;8;87;00007 - CEEE - CEEE;00007 - CEEE - CEEE;SÃO FRANCISCO DE PAULA-RS;SÃO FRANCISCO DE PAULA;RS;-29.29190;-50.73970;0.00;87220100;RIO SANTA CRUZ;Setor Elétrico;Ativo
CGH TOCA BARRAMENTO;87110000;8;87;00007 - CEEE - CEEE;00007 - CEEE - CEEE;SÃO FRANCISCO DE PAULA-RS;SÃO FRANCISCO DE PAULA;RS;-29.28920;-50.74080;675.00;87220100;RIO SANTA CRUZ;Setor Elétrico;Ativo
CGH TOCA JUSANTE;87110050;8;87;00007 - CEEE - CEEE;00007 - CEEE - CEEE;SÃO FRANCISCO DE PAULA-RS;SÃO FRANCISCO DE PAULA;RS;-29.28530;-50.74000;0.00;87220100;RIO SANTA CRUZ;Setor Elétrico;Ativo
PCH PASSO DO INFERNO BARRAMENTO;87120000;8;87;00007 - CEEE - CEEE;00007 - CEEE - CEEE;SÃO FRANCISCO DE PAULA-RS;SÃO FRANCISCO DE PAULA;RS;-29.26830;-50.74670;616.00;87220000;RIO CAÍ;Setor Elétrico;Ativo
PCH PASSO DO INFERNO JUSANTE;87120100;8;87;00007 - CEEE - CEEE;00007 - CEEE - CEEE;SÃO FRANCISCO DE PAULA-RS;SÃO FRANCISCO DE PAULA;RS;-29.26940;-50.75440;0.00;87220000;RIO CAÍ;Setor Elétrico;Ativo
LINHA GONZAGA;87150000;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;CAXIAS DO SUL-RS;CAXIAS DO SUL;RS;-29.30750;-50.99580;129.70;87220000;RIO CAÍ;RHN;Ativo
CGH SANTO ANJO JUSANTE;87153000;8;87;01204 - SANTO ANJO - CGH SANTO ANJO GERAÇÃO DE ENERGIA LTDA.;01204 - SANTO ANJO - CGH SANTO ANJO GERAÇÃO DE ENERGIA LTDA.;CAXIAS DO SUL-RS;CAXIAS DO SUL;RS;-29.20500;-51.09000;245.00;87223000;ARROIO PIAI;Setor Elétrico;Ativo
NOVA PETRÓPOLIS-CAXIAS DO SUL;87159600;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;CAXIAS DO SUL-RS;CAXIAS DO SUL;RS;-29.33140;-51.16360;0.00;87220000;RIO CAÍ;RHN;Ativo
NOVA PALMIRA;87160000;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;CAXIAS DO SUL-RS;CAXIAS DO SUL;RS;-29.33560;-51.18890;53.00;87220000;RIO CAÍ;RHN;Ativo
VALE REAL;87163000;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;VALE REAL-RS;VALE REAL;RS;-29.39970;-51.25360;0.00;87220000;RIO CAÍ;RHN;Ativo
FELIZ;87165001;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;FELIZ-RS;FELIZ;RS;-29.45500;-51.30610;0.00;87220000;RIO CAÍ;RHN;Ativo
SÃO VENDELINO;87168000;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;SÃO VENDELINO-RS;SÃO VENDELINO;RS;-29.38280;-51.36890;64.90;87225300;ARROIO FORROMECO;RHN;Ativo
BOM PRINCÍPIO;87168510;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;BOM PRINCÍPIO-RS;BOM PRINCÍPIO;RS;-29.48750;-51.34890;0.00;87225300;ARROIO FORROMECO;RHN;Ativo
BOM PRINCÍPIO;87168590;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;BOM PRINCÍPIO-RS;BOM PRINCÍPIO;RS;-29.50720;-51.35560;0.00;87220000;RIO CAÍ;RHN;Ativo
BARCA DO CAÍ;87170000;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;SÃO SEBASTIÃO DO CAÍ-RS;SÃO SEBASTIÃO DO CAÍ;RS;-29.59000;-51.38330;-0.80;87220000;RIO CAÍ;RHN;Ativo
PICADA CAFÉ;87189000;8;87;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;PICADA CAFÉ-RS;PICADA CAFÉ;RS;-29.46140;-51.14000;0.00;87225000;RIO CADEIA;RHN;Ativo
PCH HERVAL RESERVATÓRIO;87199980;8;87;00007 - CEEE - CEEE;00007 - CEEE - CEEE;SANTA MARIA DO HERVAL-RS;SANTA MARIA DO HERVAL;RS;-29.50030;-50.99530;373.00;87225000;RIO CADEIA;Setor Elétrico;Ativo
PCH HERVAL BARRAMENTO;87200000;8;87;00007 - CEEE - CEEE;00007 - CEEE - CEEE;SANTA MARIA DO HERVAL-RS;SANTA MARIA DO HERVAL;RS;-29.50110;-51.00220;373.00;87225000;RIO CADEIA;Setor Elétrico;Ativo
PCH HERVAL JUSANTE;87200100;8;87;00007 - CEEE - CEEE;00007 - CEEE - CEEE;SANTA MARIA DO HERVAL-RS;SANTA MARIA DO HERVAL;RS;-29.50170;-51.00640;0.00;87225000;RIO CADEIA;Setor Elétrico;Ativo
PICADA CAFÉ;87202000;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;PICADA CAFÉ-RS;PICADA CAFÉ;RS;-29.46190;-51.14030;75.00;87225000;RIO CADEIA;RHN;Ativo
CGH PICADA 48 JUSANTE;87219950;8;87;01270 - PICADA - Picada 48 Geração E Comércio De Energia Elétr...;01270 - PICADA - Picada 48 Geração E Comércio De Energia Elétr...;IVOTI-RS;IVOTI;RS;-29.58390;-51.12530;51.00;87225200;ARROIO FEITORIA;Setor Elétrico;Ativo
COSTA DO RIO CADEIA - MONTANTE;87230000;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;SÃO SEBASTIÃO DO CAÍ-RS;SÃO SEBASTIÃO DO CAÍ;RS;-29.59060;-51.31360;2.60;87225000;RIO CADEIA;RHN;Ativo
TERMINAL CATSUL GUAÍBA;87242000;8;87;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;GUAÍBA-RS;GUAÍBA;RS;-30.10750;-51.31110;0.00;87242050;LAGO GUAÍBA;RHN;Ativo
PASSO MONTENEGRO;87270000;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;MONTENEGRO-RS;MONTENEGRO;RS;-29.70110;-51.44110;-0.80;87220000;RIO CAÍ;CotaOnline;Ativo
PASSO MONTENEGRO;87270000;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;MONTENEGRO-RS;MONTENEGRO;RS;-29.70110;-51.44110;-0.80;87220000;RIO CAÍ;RHN;Ativo
MONTENEGRO;87271100;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;MONTENEGRO-RS;MONTENEGRO;RS;-29.69690;-51.46000;6.00;87220000;RIO CAÍ;RHN;Ativo
MONTENEGRO;87271104;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;MONTENEGRO-RS;MONTENEGRO;RS;-29.69690;-51.46000;0.00;87220000;RIO CAÍ;RHN;Ativo
MONTENEGRO/NOVA SANTA RITA;87290010;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;MONTENEGRO-RS;MONTENEGRO;RS;-29.87720;-51.24310;8.00;87220000;RIO CAÍ;RHN;Ativo
PASSO DO CAÍ;87300000;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;TRIUNFO-RS;TRIUNFO;RS;-29.86420;-51.36390;46.00;87220000;RIO CAÍ;RHN;Ativo
MAQUINÉ - RIO MAQUINÉ;87317021;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;MAQUINÉ-RS;MAQUINÉ;RS;-29.58060;-50.27830;0.00;87101000;RIO MAQUINÉ;RHN;Ativo
MAQUINÉ;87317030;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;MAQUINÉ-RS;MAQUINÉ;RS;-29.65190;-50.20920;13.00;87101000;RIO MAQUINÉ;RHN;Ativo
MAQUINÉ - RIO ÁGUA PARADA;87317036;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;MAQUINÉ-RS;MAQUINÉ;RS;-29.67500;-50.19920;0.00;87101300;ARROIO ÁGUA PARADA;RHN;Ativo
ARROIO CARAÁ;87318000;8;87;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;CARAÁ-RS;CARAÁ;RS;-29.79080;-50.42170;0.00;87112000;ARROIO CARAÁ;RHN;Ativo
CARAÁ;87318700;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;CARAÁ-RS;CARAÁ;RS;-29.76920;-50.35720;0.00;87230000;RIO DOS SINOS;RHN;Ativo
STIL LAGOA DOS BARROS;87333000;8;87;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;SANTO ANTÔNIO DA PATRULHA-RS;SANTO ANTÔNIO DA PATRULHA;RS;-29.90940;-50.42530;7.00;87228000;LAGOA DOS BARROS;RHN;Ativo
ROLANTE - RIO MASCARADA;87337010;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;ROLANTE-RS;ROLANTE;RS;-29.58250;-50.46970;91.00;87231000;RIO ROLANTE;RHN;Ativo
ROLANTE - CENTRO;87351000;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;ROLANTE-RS;ROLANTE;RS;-29.66530;-50.58190;39.00;87231000;RIO ROLANTE;RHN;Ativo
UHE BUGRES JUSANTE;87360450;8;87;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;CANELA-RS;CANELA;RS;-29.34280;-50.69610;0.00;87234000;RIO PARANHANA;Setor Elétrico;Ativo
UHE CANASTRA BARRAMENTO;87361000;8;87;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;CANELA-RS;CANELA;RS;-29.34720;-50.70140;545.00;87234000;RIO PARANHANA;Setor Elétrico;Ativo
UHE CANASTRA JUSANTE 1;87361010;8;87;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;CANELA-RS;CANELA;RS;-29.34750;-50.70360;0.00;87234000;RIO PARANHANA;Setor Elétrico;Ativo
UHE CANASTRA RIO SANTA MARIA;87361090;8;87;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;CANELA-RS;CANELA;RS;-29.39330;-50.74640;0.00;87234500;RIO SANTA MARIA;Setor Elétrico;Ativo
UHE CANASTRA JUSANTE 2;87361100;8;87;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;01479 - ITAÚBA-ENERGIA - Consórcio Itaúba-Energia;CANELA-RS;CANELA;RS;-29.39360;-50.74750;0.00;87234000;RIO PARANHANA;Setor Elétrico;Ativo
TRÊS COROAS;87366500;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;TRÊS COROAS-RS;TRÊS COROAS;RS;-29.47000;-50.75940;75.00;87234000;RIO PARANHANA;RHN;Ativo
IGREJINHA;87375500;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;IGREJINHA-RS;IGREJINHA;RS;-29.57360;-50.79640;0.00;87234000;RIO PARANHANA;RHN;Ativo
FOZ DO PARANHANA;87376000;8;87;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;TAQUARA-RS;TAQUARA;RS;-29.68580;-50.81220;19.20;87230000;RIO DOS SINOS;RHN;Ativo
NOVA HARTZ;87377400;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;NOVA HARTZ-RS;NOVA HARTZ;RS;-29.59330;-50.90280;0.00;87237000;ARROIO GRANDE;RHN;Ativo
CAMPO BOM;87380000;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;CAMPO BOM-RS;CAMPO BOM;RS;-29.69170;-51.04610;2.10;87230000;RIO DOS SINOS;RHN;Ativo
SÃO LEOPOLDO;87382000;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;SÃO LEOPOLDO-RS;SÃO LEOPOLDO;RS;-29.75890;-51.14830;-0.40;87230000;RIO DOS SINOS;RHN;Ativo
4 IRMÃOS CANAL GRAVATAÍ;87398750;8;87;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;GLORINHA-RS;GLORINHA;RS;-29.98030;-50.74390;0.20;87240000;RIO GRAVATAÍ;RHN;Ativo
4 IRMÃOS CANAL GRAVATAÍ;87398750;8;87;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;GLORINHA-RS;GLORINHA;RS;-29.98030;-50.74390;0.20;87240000;RIO GRAVATAÍ;Açudes Semiárido;Ativo
PASSO DAS CANOAS - AUXILIAR;87399000;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;GRAVATAÍ-RS;GRAVATAÍ;RS;-29.96440;-50.97780;0.00;87240000;RIO GRAVATAÍ;RHN;Ativo
CORSAN ALVORADA;87401750;8;87;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;ALVORADA-RS;ALVORADA;RS;-29.96830;-51.03670;12.00;87240000;RIO GRAVATAÍ;RHN;Ativo
CAIS MAUÁ C6;87450004;8;87;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;PORTO ALEGRE-RS;PORTO ALEGRE;RS;-30.02110;-51.22110;5.00;87200000;RIO GUAÍBA;Açudes Semiárido;Ativo
CAIS MAUÁ C6;87450004;8;87;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;PORTO ALEGRE-RS;PORTO ALEGRE;RS;-30.02110;-51.22110;5.00;87200000;RIO GUAÍBA;RHN;Ativo
USINA DO GASÔMETRO;87450020;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;PORTO ALEGRE-RS;PORTO ALEGRE;RS;-30.03470;-51.24190;15.00;87200000;RIO GUAÍBA;RHN;Ativo
IPIRANGA;87450100;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;PORTO ALEGRE-RS;PORTO ALEGRE;RS;-30.04830;-51.19640;3.80;87241600;ARROIO DILÚVIO;Açudes Semiárido;Ativo
IPANEMA;87460120;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;PORTO ALEGRE-RS;PORTO ALEGRE;RS;-30.13530;-51.23280;-0.10;87200000;RIO GUAÍBA;Açudes Semiárido;Ativo
BARRA DO RIBEIRO - LAGO GUAÍBA;87480000;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;BARRA DO RIBEIRO-RS;BARRA DO RIBEIRO;RS;-30.29440;-51.29860;0.00;87200000;RIO GUAÍBA;RHN;Ativo
PALMARES DO SUL;87510020;8;87;00065 - DEPRC - DEPRC;00065 - DEPRC - DEPRC;PALMARES DO SUL-RS;PALMARES DO SUL;RS;-30.26580;-50.51640;0.00;87300200;RIO PALMARES;RHN;Ativo
CGH MORRINHOS BARRAMENTO;87510047;8;87;00496 - MORRINHOS - Morrinhos Geração e Comércio de Energia Elétr...;00496 - MORRINHOS - Morrinhos Geração e Comércio de Energia Elétr...;BARÃO DO TRIUNFO-RS;BARÃO DO TRIUNFO;RS;-30.31750;-51.86780;155.00;87211150;ARROIO DOS CACHORROS;Setor Elétrico;Ativo
CGH MORRINHOS JUSANTE;87510049;8;87;00496 - MORRINHOS - Morrinhos Geração e Comércio de Energia Elétr...;00496 - MORRINHOS - Morrinhos Geração e Comércio de Energia Elétr...;BARÃO DO TRIUNFO-RS;BARÃO DO TRIUNFO;RS;-30.31060;-51.84750;117.00;87211150;ARROIO DOS CACHORROS;Setor Elétrico;Ativo
PONTE CAMAQUÃ CHICO;87550050;8;87;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;BAGÉ-RS;BAGÉ;RS;-30.90830;-53.82060;0.00;87402000;ARROIO CAMAQUÃ CHICO;RHN;Ativo
LAVRAS DO SUL;87580001;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;LAVRAS DO SUL-RS;LAVRAS DO SUL;RS;-30.81560;-53.89970;0.00;87401200;ARROIO DAS LAVRAS;RHN;Ativo
CGH ABRANJO I MONTANTE;87785000;8;87;00360 - ABRANJO - Abranjo Geração de Energia S.A.;00360 - ABRANJO - Abranjo Geração de Energia S.A.;ENCRUZILHADA DO SUL-RS;ENCRUZILHADA DO SUL;RS;-30.74920;-52.64640;288.00;87427000;ARROIO ABRANJO;Setor Elétrico;Ativo
CGH ABRANJO I BARRAMENTO;87790000;8;87;00360 - ABRANJO - Abranjo Geração de Energia S.A.;00360 - ABRANJO - Abranjo Geração de Energia S.A.;ENCRUZILHADA DO SUL-RS;ENCRUZILHADA DO SUL;RS;-30.78830;-52.62970;247.00;87427000;ARROIO ABRANJO;Setor Elétrico;Ativo
CGH ABRANJO I JUSANTE;87795000;8;87;00360 - ABRANJO - Abranjo Geração de Energia S.A.;00360 - ABRANJO - Abranjo Geração de Energia S.A.;ENCRUZILHADA DO SUL-RS;ENCRUZILHADA DO SUL;RS;-30.79560;-52.62420;139.00;87427000;ARROIO ABRANJO;Setor Elétrico;Ativo
AMARAL FERRADOR;87849000;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;AMARAL FERRADOR-RS;AMARAL FERRADOR;RS;-30.86670;-52.24190;0.00;87431000;ARROIO DOS LADRÕES;RHN;Ativo
DOM FELICIANO;87864950;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;DOM FELICIANO-RS;DOM FELICIANO;RS;-30.69610;-52.06030;0.00;87433000;ARROIO SUTIL;RHN;Ativo
PASSO DO MENDONÇA;87905000;8;87;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;CRISTAL-RS;CRISTAL;RS;-31.01190;-52.05250;14.90;87400000;RIO CAMAQUÃ;RHN;Ativo
PASSO DO CANDOMBE;87920500;8;87;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;SÃO LOURENÇO DO SUL-RS;SÃO LOURENÇO DO SUL;RS;-31.29000;-52.11750;60.20;87445000;ARROIO SÃO LOURENÇO;RHN;Ativo
RIO GRANDE;87979800;8;87;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;RIO GRANDE-RS;RIO GRANDE;RS;-32.02720;-52.10250;0.00;87001000;LAGOA DOS PATOS;RHN;Ativo
