nome_estacao;cod_estacao;bacia;sub_bacia;operadora;responsavel;municipio_uf;municipio;uf;latitude;longitude;altitude;cod_rio;nome_rio;origem;status_estacao
PCH PALANQUINHO BARRAMENTO;86210900;8;86;00457 - SERRANA - Serrana Energética S.A.;00457 - SERRANA - Serrana Energética S.A.;CAXIAS DO SUL-RS;CAXIAS DO SUL;RS;-28.89640;-50.81080;520.00;86118200;LAJEADO GRANDE;Setor Elétrico;Ativo
PCH PALANQUINHO JUSANTE;86220600;8;86;00457 - SERRANA - Serrana Energética S.A.;00457 - SERRANA - Serrana Energética S.A.;CAMPESTRE DA SERRA-RS;CAMPESTRE DA SERRA;RS;-28.82940;-51.00920;317.00;86100000;RIO DAS ANTAS;Setor Elétrico;Ativo
PCH RIO SÃO MARCOS BARRAMENTO;86280500;8;86;00240 - RIO SÃO MARCOS - Hidrelétrica Rio São Marcos Ltda.;00240 - RIO SÃO MARCOS - Hidrelétrica Rio São Marcos Ltda.;SÃO MARCOS-RS;SÃO MARCOS;RS;-29.03670;-51.09560;0.00;86123000;ARROIO SÃO MARCOS;Setor Elétrico;Ativo
PCH RIO SÃO MARCOS JUSANTE;86281000;8;86;00240 - RIO SÃO MARCOS - Hidrelétrica Rio São Marcos Ltda.;00240 - RIO SÃO MARCOS - Hidrelétrica Rio São Marcos Ltda.;SÃO MARCOS-RS;SÃO MARCOS;RS;-29.03610;-51.09860;0.00;86123000;ARROIO SÃO MARCOS;Setor Elétrico;Ativo
FLORES DA CUNHA-ANTÔNIO PRADO;86297995;8;86;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;FLORES DA CUNHA-RS;FLORES DA CUNHA;RS;-28.94220;-51.18970;0.00;86100000;RIO DAS ANTAS;RHN;Ativo
UHE CASTRO ALVES RS-122;86298000;8;86;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;ANTÔNIO PRADO-RS;ANTÔNIO PRADO;RS;-28.94140;-51.18920;274.00;86100000;RIO DAS ANTAS;Setor Elétrico;Ativo
UHE CASTRO ALVES BARRAMENTO;86305000;8;86;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;NOVA ROMA DO SUL-RS;NOVA ROMA DO SUL;RS;-29.00580;-51.38530;250.00;86100000;RIO DAS ANTAS;Setor Elétrico;Ativo
UHE CASTRO ALVES ALÇA;86306000;8;86;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;NOVA ROMA DO SUL-RS;NOVA ROMA DO SUL;RS;-29.01330;-51.36750;206.00;86100000;RIO DAS ANTAS;Setor Elétrico;Ativo
UHE CASTRO ALVES TEGA;86321000;8;86;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;NOVA PADUA-RS;NOVA PADUA;RS;-29.06330;-51.32360;239.00;86130000;RIO TEGAS;Setor Elétrico;Ativo
NOVA ROMA/FARROUPILHA;86329001;8;86;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;NOVA ROMA DO SUL-RS;NOVA ROMA DO SUL;RS;-29.05750;-51.39610;178.00;86100000;RIO DAS ANTAS;RHN;Ativo
